datetime,00060_Mean,00060_Mean_cd,site_no
2016-09-20 00:00:00+00:00,32.0,A,08079510
2016-09-21 00:00:00+00:00,25.1,A,08079510
2016-09-22 00:00:00+00:00,21.4,A,08079510
2016-09-23 00:00:00+00:00,19.7,A,08079510
2016-09-24 00:00:00+00:00,18.7,A,08079510
2016-09-25 00:00:00+00:00,19.8,A,08079510
2016-09-26 00:00:00+00:00,19.9,A,08079510
2016-09-27 00:00:00+00:00,21.5,A,08079510
2016-09-28 00:00:00+00:00,18.4,A,08079510
2016-09-29 00:00:00+00:00,20.1,A,08079510
2016-09-30 00:00:00+00:00,18.7,A,08079510
2016-10-01 00:00:00+00:00,15.1,A,08079510
2016-10-02 00:00:00+00:00,15.3,A,08079510
2016-10-03 00:00:00+00:00,15.8,A,08079510
2016-10-04 00:00:00+00:00,16.0,A,08079510
2016-10-05 00:00:00+00:00,15.2,A,08079510
2016-10-06 00:00:00+00:00,15.2,A,08079510
2016-10-07 00:00:00+00:00,14.9,A,08079510
2016-10-08 00:00:00+00:00,15.7,A,08079510
2016-10-09 00:00:00+00:00,12.0,A,08079510
2016-10-10 00:00:00+00:00,14.2,A,08079510
2016-10-11 00:00:00+00:00,17.0,A,08079510
2016-10-12 00:00:00+00:00,17.1,A,08079510
2016-10-13 00:00:00+00:00,107.0,A,08079510
2016-10-14 00:00:00+00:00,58.3,A,08079510
2016-10-15 00:00:00+00:00,26.1,A,08079510
2016-10-16 00:00:00+00:00,20.0,A,08079510
2016-10-17 00:00:00+00:00,16.4,A,08079510
2016-10-18 00:00:00+00:00,12.1,A,08079510
2016-10-19 00:00:00+00:00,9.95,A,08079510
2016-10-20 00:00:00+00:00,10.1,A,08079510
2016-10-21 00:00:00+00:00,7.95,A,08079510
2016-10-22 00:00:00+00:00,9.55,A,08079510
2016-10-23 00:00:00+00:00,8.84,A,08079510
2016-10-24 00:00:00+00:00,10.4,A,08079510
2016-10-25 00:00:00+00:00,10.6,A,08079510
2016-10-26 00:00:00+00:00,10.3,A,08079510
2016-10-27 00:00:00+00:00,6.56,A,08079510
2016-10-28 00:00:00+00:00,1.41,A,08079510
2016-10-29 00:00:00+00:00,1.48,A,08079510
2016-10-30 00:00:00+00:00,1.65,A,08079510
2016-10-31 00:00:00+00:00,1.96,A,08079510
2016-11-01 00:00:00+00:00,1.93,A,08079510
2016-11-02 00:00:00+00:00,2.19,A,08079510
2016-11-03 00:00:00+00:00,13.9,A,08079510
2016-11-04 00:00:00+00:00,12.5,A,08079510
2016-11-05 00:00:00+00:00,10.4,A,08079510
2016-11-06 00:00:00+00:00,13.7,A,08079510
2016-11-07 00:00:00+00:00,13.0,A,08079510
2016-11-08 00:00:00+00:00,14.5,A,08079510
2016-11-09 00:00:00+00:00,12.8,A,08079510
2016-11-10 00:00:00+00:00,11.1,A,08079510
2016-11-11 00:00:00+00:00,10.1,A,08079510
2016-11-12 00:00:00+00:00,8.89,A,08079510
2016-11-13 00:00:00+00:00,10.0,A,08079510
2016-11-14 00:00:00+00:00,9.38,A,08079510
2016-11-15 00:00:00+00:00,9.46,A,08079510
2016-11-16 00:00:00+00:00,10.8,A,08079510
2016-11-17 00:00:00+00:00,12.0,A,08079510
2016-11-18 00:00:00+00:00,12.8,A,08079510
2016-11-19 00:00:00+00:00,11.6,A,08079510
2016-11-20 00:00:00+00:00,11.5,A,08079510
2016-11-21 00:00:00+00:00,12.7,A,08079510
2016-11-22 00:00:00+00:00,13.8,A,08079510
2016-11-23 00:00:00+00:00,13.7,A,08079510
2016-11-24 00:00:00+00:00,11.8,A,08079510
2016-11-25 00:00:00+00:00,11.5,A,08079510
2016-11-26 00:00:00+00:00,10.9,A,08079510
2016-11-27 00:00:00+00:00,13.6,A,08079510
2016-11-28 00:00:00+00:00,14.8,A,08079510
2016-11-29 00:00:00+00:00,15.5,A,08079510
2016-11-30 00:00:00+00:00,14.7,A,08079510
2016-12-01 00:00:00+00:00,12.6,A,08079510
2016-12-02 00:00:00+00:00,11.3,A,08079510
2016-12-03 00:00:00+00:00,19.6,A,08079510
2016-12-04 00:00:00+00:00,19.5,A,08079510
2016-12-05 00:00:00+00:00,14.5,A,08079510
2016-12-06 00:00:00+00:00,16.1,A,08079510
2016-12-07 00:00:00+00:00,13.2,A,08079510
2016-12-08 00:00:00+00:00,11.0,A,08079510
2016-12-09 00:00:00+00:00,9.66,A,08079510
2016-12-10 00:00:00+00:00,10.3,A,08079510
2016-12-11 00:00:00+00:00,11.6,A,08079510
2016-12-12 00:00:00+00:00,10.2,A,08079510
2016-12-13 00:00:00+00:00,9.79,A,08079510
2016-12-14 00:00:00+00:00,10.9,A,08079510
2016-12-15 00:00:00+00:00,10.3,A,08079510
2016-12-16 00:00:00+00:00,8.28,A,08079510
2016-12-17 00:00:00+00:00,8.2,A,08079510
2016-12-18 00:00:00+00:00,7.98,A,08079510
2016-12-19 00:00:00+00:00,7.05,A,08079510
2016-12-20 00:00:00+00:00,2.99,A,08079510
2016-12-21 00:00:00+00:00,3.4,A,08079510
2016-12-22 00:00:00+00:00,3.27,A,08079510
2016-12-23 00:00:00+00:00,3.4,A,08079510
2016-12-24 00:00:00+00:00,3.11,A,08079510
2016-12-25 00:00:00+00:00,8.02,A,08079510
2016-12-26 00:00:00+00:00,13.7,A,08079510
2016-12-27 00:00:00+00:00,13.0,A,08079510
2016-12-28 00:00:00+00:00,13.5,A,08079510
2016-12-29 00:00:00+00:00,10.4,A,08079510
2016-12-30 00:00:00+00:00,9.38,A,08079510
2016-12-31 00:00:00+00:00,3.01,A,08079510
2017-01-01 00:00:00+00:00,4.14,A,08079510
2017-01-02 00:00:00+00:00,26.7,A,08079510
2017-01-03 00:00:00+00:00,7.7,A,08079510
2017-01-04 00:00:00+00:00,4.66,A,08079510
2017-01-05 00:00:00+00:00,4.22,A,08079510
2017-01-06 00:00:00+00:00,3.91,A,08079510
2017-01-07 00:00:00+00:00,3.75,A,08079510
2017-01-08 00:00:00+00:00,3.79,A,08079510
2017-01-09 00:00:00+00:00,3.88,A,08079510
2017-01-10 00:00:00+00:00,2.92,A,08079510
2017-01-11 00:00:00+00:00,2.7,A,08079510
2017-01-12 00:00:00+00:00,5.85,A,08079510
