datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2008-10-01 00:00:00+00:00,21.8,A,07343450,20.2,A,21.0,A
2008-10-02 00:00:00+00:00,20.6,A,07343450,18.8,A,20.0,A
2008-10-03 00:00:00+00:00,19.9,A,07343450,18.8,A,19.3,A
2008-10-04 00:00:00+00:00,19.2,A,07343450,17.6,A,18.8,A
2008-10-05 00:00:00+00:00,18.8,A,07343450,17.9,A,18.2,A
2008-10-06 00:00:00+00:00,42.3,A,07343450,17.5,A,22.1,A
2008-10-07 00:00:00+00:00,202.0,A,07343450,42.3,A,105.0,A
2008-10-08 00:00:00+00:00,221.0,A,07343450,147.0,A,196.0,A
2008-10-09 00:00:00+00:00,147.0,A,07343450,111.0,A,124.0,A
2008-10-10 00:00:00+00:00,162.0,A,07343450,143.0,A,158.0,A
2008-10-11 00:00:00+00:00,155.0,A,07343450,117.0,A,136.0,A
2008-10-12 00:00:00+00:00,117.0,A,07343450,87.9,A,102.0,A
2008-10-13 00:00:00+00:00,87.9,A,07343450,69.6,A,78.2,A
2008-10-14 00:00:00+00:00,69.6,A,07343450,56.2,A,62.2,A
2008-10-15 00:00:00+00:00,56.2,A,07343450,39.4,A,49.9,A
2008-10-16 00:00:00+00:00,1090.0,A,07343450,44.2,A,504.0,A
2008-10-17 00:00:00+00:00,1100.0,A,07343450,432.0,A,820.0,A
2008-10-18 00:00:00+00:00,432.0,A,07343450,111.0,A,212.0,A
2008-10-19 00:00:00+00:00,111.0,A,07343450,72.8,A,87.1,A
2008-10-20 00:00:00+00:00,72.8,A,07343450,60.3,A,65.5,A
2008-10-21 00:00:00+00:00,60.3,A,07343450,52.2,A,55.7,A
2008-10-22 00:00:00+00:00,52.2,A,07343450,46.2,A,48.6,A
2008-10-23 00:00:00+00:00,46.2,A,07343450,38.5,A,42.5,A
2008-10-24 00:00:00+00:00,38.5,A,07343450,31.9,A,35.5,A
2008-10-25 00:00:00+00:00,31.9,A,07343450,28.0,A,29.9,A
2008-10-26 00:00:00+00:00,28.0,A,07343450,26.1,A,26.9,A
2008-10-27 00:00:00+00:00,26.7,A,07343450,23.3,A,24.9,A
2008-10-28 00:00:00+00:00,24.0,A,07343450,22.9,A,23.4,A
2008-10-29 00:00:00+00:00,23.3,A,07343450,21.8,A,22.3,A
2008-10-30 00:00:00+00:00,21.8,A,07343450,21.2,A,21.6,A
2008-10-31 00:00:00+00:00,21.5,A,07343450,20.9,A,21.3,A
2008-11-01 00:00:00+00:00,21.5,A,07343450,21.2,A,21.3,A
2008-11-02 00:00:00+00:00,21.8,A,07343450,20.9,A,21.4,A
2008-11-03 00:00:00+00:00,21.5,A,07343450,20.9,A,21.3,A
2008-11-04 00:00:00+00:00,25.2,A,07343450,20.9,A,22.7,A
2008-11-05 00:00:00+00:00,24.4,A,07343450,21.2,A,22.4,A
2008-11-06 00:00:00+00:00,22.0,A,07343450,20.4,A,21.5,A
2008-11-07 00:00:00+00:00,21.5,A,07343450,19.9,A,21.1,A
2008-11-08 00:00:00+00:00,21.2,A,07343450,18.4,A,20.8,A
2008-11-09 00:00:00+00:00,21.2,A,07343450,20.2,A,20.8,A
2008-11-10 00:00:00+00:00,21.8,A,07343450,19.0,A,21.1,A
2008-11-11 00:00:00+00:00,97.9,A,07343450,19.4,A,49.6,A
2008-11-12 00:00:00+00:00,289.0,A,07343450,97.9,A,188.0,A
2008-11-13 00:00:00+00:00,291.0,A,07343450,193.0,A,251.0,A
2008-11-14 00:00:00+00:00,193.0,A,07343450,128.0,A,159.0,A
2008-11-15 00:00:00+00:00,135.0,A,07343450,94.6,A,112.0,A
2008-11-16 00:00:00+00:00,96.8,A,07343450,70.7,A,82.6,A
2008-11-17 00:00:00+00:00,71.8,A,07343450,55.2,A,62.8,A
2008-11-18 00:00:00+00:00,57.2,A,07343450,47.2,A,51.5,A
2008-11-19 00:00:00+00:00,47.2,A,07343450,38.5,A,42.4,A
2008-11-20 00:00:00+00:00,38.5,A,07343450,27.3,A,34.8,A
2008-11-21 00:00:00+00:00,33.8,A,07343450,27.3,A,31.1,A
2008-11-22 00:00:00+00:00,30.1,A,07343450,26.1,A,28.0,A
2008-11-23 00:00:00+00:00,26.1,A,07343450,24.4,A,25.3,A
2008-11-24 00:00:00+00:00,25.6,A,07343450,22.3,A,24.8,A
2008-11-25 00:00:00+00:00,25.2,A,07343450,23.6,A,24.1,A
2008-11-26 00:00:00+00:00,24.0,A,07343450,23.3,A,23.6,A
2008-11-27 00:00:00+00:00,23.6,A,07343450,22.9,A,23.2,A
2008-11-28 00:00:00+00:00,27.3,A,07343450,20.4,A,24.0,A
2008-11-29 00:00:00+00:00,31.0,A,07343450,27.3,A,28.7,A
2008-11-30 00:00:00+00:00,31.0,A,07343450,25.2,A,29.6,A
2008-12-01 00:00:00+00:00,31.0,A,07343450,26.7,A,29.3,A
2008-12-02 00:00:00+00:00,31.9,A,07343450,29.4,A,30.7,A
2008-12-03 00:00:00+00:00,31.9,A,07343450,29.4,A,30.2,A
2008-12-04 00:00:00+00:00,31.0,A,07343450,26.1,A,29.4,A
2008-12-05 00:00:00+00:00,30.1,A,07343450,28.7,A,29.5,A
2008-12-06 00:00:00+00:00,29.4,A,07343450,27.3,A,28.3,A
2008-12-07 00:00:00+00:00,28.0,A,07343450,26.1,A,27.4,A
2008-12-08 00:00:00+00:00,27.3,A,07343450,25.6,A,27.0,A
2008-12-09 00:00:00+00:00,202.0,A,07343450,26.7,A,132.0,A
2008-12-10 00:00:00+00:00,118.0,A,07343450,45.2,A,73.4,A
2008-12-11 00:00:00+00:00,45.2,A,07343450,30.1,A,38.4,A
2008-12-12 00:00:00+00:00,37.5,A,07343450,30.1,A,33.1,A
2008-12-13 00:00:00+00:00,31.0,A,07343450,26.1,A,28.4,A
2008-12-14 00:00:00+00:00,29.4,A,07343450,26.1,A,27.6,A
2008-12-15 00:00:00+00:00,29.4,A,07343450,23.6,A,26.4,A
2008-12-16 00:00:00+00:00,25.6,A,07343450,24.0,A,25.5,A
2008-12-17 00:00:00+00:00,25.6,A,07343450,24.8,A,25.0,A
2008-12-18 00:00:00+00:00,25.2,A,07343450,24.0,A,24.7,A
2008-12-19 00:00:00+00:00,26.1,A,07343450,23.6,A,25.4,A
2008-12-20 00:00:00+00:00,26.1,A,07343450,21.8,A,25.1,A
2008-12-21 00:00:00+00:00,25.2,A,07343450,21.8,A,24.1,A
2008-12-22 00:00:00+00:00,24.8,A,07343450,22.3,A,24.1,A
2008-12-23 00:00:00+00:00,24.0,A,07343450,23.3,A,23.6,A
2008-12-24 00:00:00+00:00,24.8,A,07343450,21.5,A,24.0,A
2008-12-25 00:00:00+00:00,25.2,A,07343450,24.0,A,24.6,A
2008-12-26 00:00:00+00:00,28.0,A,07343450,24.4,A,25.8,A
2008-12-27 00:00:00+00:00,42.3,A,07343450,22.3,A,30.7,A
2008-12-28 00:00:00+00:00,64.4,A,07343450,42.3,A,56.5,A
2008-12-29 00:00:00+00:00,49.2,A,07343450,40.4,A,43.2,A
2008-12-30 00:00:00+00:00,41.3,A,07343450,37.5,A,38.9,A
2008-12-31 00:00:00+00:00,38.5,A,07343450,31.0,A,36.1,A
2009-01-01 00:00:00+00:00,36.6,A,07343450,31.9,A,35.1,A
2009-01-02 00:00:00+00:00,37.5,A,07343450,33.8,A,35.8,A
2009-01-03 00:00:00+00:00,37.5,A,07343450,33.8,A,36.5,A
2009-01-04 00:00:00+00:00,37.5,A,07343450,28.7,A,35.2,A
2009-01-05 00:00:00+00:00,50.2,A,07343450,28.7,A,36.5,A
2009-01-06 00:00:00+00:00,143.0,A,07343450,50.2,A,88.5,A
2009-01-07 00:00:00+00:00,197.0,A,07343450,143.0,A,180.0,A
2009-01-08 00:00:00+00:00,197.0,A,07343450,160.0,A,181.0,A
2009-01-09 00:00:00+00:00,160.0,A,07343450,128.0,A,142.0,A
2009-01-10 00:00:00+00:00,128.0,A,07343450,110.0,A,121.0,A
2009-01-11 00:00:00+00:00,116.0,A,07343450,94.6,A,107.0,A
2009-01-12 00:00:00+00:00,99.0,A,07343450,81.4,A,89.4,A
2009-01-13 00:00:00+00:00,81.4,A,07343450,66.5,A,74.8,A
2009-01-14 00:00:00+00:00,70.7,A,07343450,59.2,A,64.3,A
2009-01-15 00:00:00+00:00,59.2,A,07343450,48.2,A,54.4,A
2009-01-16 00:00:00+00:00,51.2,A,07343450,42.3,A,46.9,A
2009-01-17 00:00:00+00:00,43.3,A,07343450,36.6,A,39.6,A
2009-01-18 00:00:00+00:00,39.4,A,07343450,30.1,A,35.3,A
2009-01-19 00:00:00+00:00,33.8,A,07343450,25.2,A,30.6,A
2009-01-20 00:00:00+00:00,31.9,A,07343450,24.8,A,28.4,A
2009-01-21 00:00:00+00:00,28.7,A,07343450,24.4,A,26.5,A
2009-01-22 00:00:00+00:00,25.6,A,07343450,24.4,A,25.0,A
2009-01-23 00:00:00+00:00,25.2,A,07343450,24.0,A,24.7,A
2009-01-24 00:00:00+00:00,24.4,A,07343450,21.5,A,23.7,A
2009-01-25 00:00:00+00:00,24.4,A,07343450,22.3,A,23.5,A
2009-01-26 00:00:00+00:00,23.3,A,07343450,22.0,A,22.4,A
2009-01-27 00:00:00+00:00,25.2,A,07343450,20.4,A,22.7,A
2009-01-28 00:00:00+00:00,50.2,A,07343450,24.8,A,38.5,A
2009-01-29 00:00:00+00:00,50.2,A,07343450,39.4,A,44.0,A
2009-01-30 00:00:00+00:00,49.2,A,07343450,41.3,A,47.0,A
2009-01-31 00:00:00+00:00,52.2,A,07343450,48.2,A,50.1,A
2009-02-01 00:00:00+00:00,50.2,A,07343450,47.2,A,48.4,A
2009-02-02 00:00:00+00:00,48.2,A,07343450,40.4,A,46.3,A
2009-02-03 00:00:00+00:00,47.2,A,07343450,37.5,A,43.9,A
2009-02-04 00:00:00+00:00,42.3,A,07343450,39.4,A,40.7,A
2009-02-05 00:00:00+00:00,40.4,A,07343450,34.7,A,38.2,A
2009-02-06 00:00:00+00:00,36.6,A,07343450,32.8,A,35.2,A
2009-02-07 00:00:00+00:00,34.7,A,07343450,28.7,A,33.5,A
2009-02-08 00:00:00+00:00,32.8,A,07343450,25.2,A,30.2,A
2009-02-09 00:00:00+00:00,31.9,A,07343450,24.8,A,29.6,A
2009-02-10 00:00:00+00:00,40.4,A,07343450,31.0,A,35.7,A
2009-02-11 00:00:00+00:00,87.9,A,07343450,33.8,A,70.1,A
2009-02-12 00:00:00+00:00,237.0,A,07343450,82.5,A,159.0,A
2009-02-13 00:00:00+00:00,245.0,A,07343450,223.0,A,237.0,A
2009-02-14 00:00:00+00:00,223.0,A,07343450,191.0,A,208.0,A
2009-02-15 00:00:00+00:00,192.0,A,07343450,159.0,A,175.0,A
2009-02-16 00:00:00+00:00,159.0,A,07343450,128.0,A,144.0,A
2009-02-17 00:00:00+00:00,130.0,A,07343450,101.0,A,117.0,A
2009-02-18 00:00:00+00:00,101.0,A,07343450,76.0,A,90.7,A
