datetime,00060_Mean,00060_Mean_cd,site_no
1979-10-01 00:00:00+00:00,0.03,A,08083430
1979-10-02 00:00:00+00:00,0.03,A,08083430
1979-10-03 00:00:00+00:00,0.03,A,08083430
1979-10-04 00:00:00+00:00,0.02,A,08083430
1979-10-05 00:00:00+00:00,0.03,A,08083430
1979-10-06 00:00:00+00:00,0.03,A,08083430
1979-10-07 00:00:00+00:00,0.03,A,08083430
1979-10-08 00:00:00+00:00,0.05,A,08083430
1979-10-09 00:00:00+00:00,0.04,A,08083430
1979-10-10 00:00:00+00:00,0.04,A,08083430
1979-10-11 00:00:00+00:00,0.04,A,08083430
1979-10-12 00:00:00+00:00,0.03,A,08083430
1979-10-13 00:00:00+00:00,0.03,A,08083430
1979-10-14 00:00:00+00:00,0.03,A,08083430
1979-10-15 00:00:00+00:00,0.04,A,08083430
1979-10-16 00:00:00+00:00,0.04,A,08083430
1979-10-17 00:00:00+00:00,0.03,A,08083430
1979-10-18 00:00:00+00:00,0.03,A,08083430
1979-10-19 00:00:00+00:00,0.04,A,08083430
1979-10-20 00:00:00+00:00,0.05,A,08083430
1979-10-21 00:00:00+00:00,0.08,A,08083430
1979-10-22 00:00:00+00:00,0.04,A,08083430
1979-10-23 00:00:00+00:00,0.05,A,08083430
1979-10-24 00:00:00+00:00,0.05,A,08083430
1979-10-25 00:00:00+00:00,0.05,A,08083430
1979-10-26 00:00:00+00:00,0.05,A,08083430
1979-10-27 00:00:00+00:00,0.04,A,08083430
1979-10-28 00:00:00+00:00,0.05,A,08083430
1979-10-29 00:00:00+00:00,0.09,A,08083430
1979-10-30 00:00:00+00:00,24.0,A,08083430
1979-10-31 00:00:00+00:00,5.1,A,08083430
1979-11-01 00:00:00+00:00,0.5,A,08083430
1979-11-02 00:00:00+00:00,0.21,A,08083430
1979-11-03 00:00:00+00:00,0.14,A,08083430
1979-11-04 00:00:00+00:00,0.1,A,08083430
1979-11-05 00:00:00+00:00,0.09,A,08083430
1979-11-06 00:00:00+00:00,0.23,A,08083430
1979-11-07 00:00:00+00:00,0.22,A,08083430
1979-11-08 00:00:00+00:00,0.16,A,08083430
1979-11-09 00:00:00+00:00,0.13,A,08083430
1979-11-10 00:00:00+00:00,0.12,A,08083430
1979-11-11 00:00:00+00:00,0.12,A,08083430
1979-11-12 00:00:00+00:00,0.11,A,08083430
1979-11-13 00:00:00+00:00,0.11,A,08083430
1979-11-14 00:00:00+00:00,0.12,A,08083430
1979-11-15 00:00:00+00:00,0.15,A,08083430
1979-11-16 00:00:00+00:00,0.16,A,08083430
1979-11-17 00:00:00+00:00,0.14,A,08083430
1979-11-18 00:00:00+00:00,0.14,A,08083430
1979-11-19 00:00:00+00:00,0.14,A,08083430
1979-11-20 00:00:00+00:00,0.14,A,08083430
1979-11-21 00:00:00+00:00,15.0,A,08083430
1979-11-22 00:00:00+00:00,2.4,A,08083430
1979-11-23 00:00:00+00:00,0.36,A,08083430
1979-11-24 00:00:00+00:00,0.2,A,08083430
1979-11-25 00:00:00+00:00,0.14,A,08083430
1979-11-26 00:00:00+00:00,0.13,A,08083430
1979-11-27 00:00:00+00:00,0.11,A,08083430
1979-11-28 00:00:00+00:00,0.11,A,08083430
1979-11-29 00:00:00+00:00,0.11,A,08083430
1979-11-30 00:00:00+00:00,0.11,A,08083430
1979-12-01 00:00:00+00:00,0.11,A,08083430
1979-12-02 00:00:00+00:00,0.11,A,08083430
1979-12-03 00:00:00+00:00,0.12,A,08083430
1979-12-04 00:00:00+00:00,0.12,A,08083430
1979-12-05 00:00:00+00:00,0.13,A,08083430
1979-12-06 00:00:00+00:00,0.13,A,08083430
1979-12-07 00:00:00+00:00,0.14,A,08083430
1979-12-08 00:00:00+00:00,0.15,A,08083430
1979-12-09 00:00:00+00:00,0.15,A,08083430
1979-12-10 00:00:00+00:00,0.15,A,08083430
1979-12-11 00:00:00+00:00,0.15,A,08083430
1979-12-12 00:00:00+00:00,14.0,A,08083430
1979-12-13 00:00:00+00:00,12.0,A,08083430
1979-12-14 00:00:00+00:00,7.6,A,08083430
1979-12-15 00:00:00+00:00,3.1,A,08083430
1979-12-16 00:00:00+00:00,0.77,A,08083430
1979-12-17 00:00:00+00:00,0.33,A,08083430
1979-12-18 00:00:00+00:00,0.21,A,08083430
1979-12-19 00:00:00+00:00,0.17,A,08083430
1979-12-20 00:00:00+00:00,0.15,A,08083430
1979-12-21 00:00:00+00:00,0.14,A,08083430
1979-12-22 00:00:00+00:00,0.13,A,08083430
1979-12-23 00:00:00+00:00,70.0,A,08083430
1979-12-24 00:00:00+00:00,7.4,A,08083430
1979-12-25 00:00:00+00:00,1.2,A,08083430
1979-12-26 00:00:00+00:00,1.4,A,08083430
1979-12-27 00:00:00+00:00,0.92,A,08083430
1979-12-28 00:00:00+00:00,120.0,A,08083430
1979-12-29 00:00:00+00:00,32.0,A,08083430
1979-12-30 00:00:00+00:00,5.9,A,08083430
