datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2013-03-14 00:00:00+00:00,,,08104300,,,10.0,A
2013-03-15 00:00:00+00:00,,,08104300,,,10.0,A
2013-03-16 00:00:00+00:00,,,08104300,,,9.7,"A, e"
2013-03-17 00:00:00+00:00,,,08104300,,,9.4,"A, e"
2013-03-18 00:00:00+00:00,,,08104300,,,9.1,"A, e"
2013-03-19 00:00:00+00:00,,,08104300,,,9.0,A
2013-03-20 00:00:00+00:00,,,08104300,,,9.0,A
2013-03-21 00:00:00+00:00,8.66,A,08104300,8.66,A,8.66,A
2013-03-22 00:00:00+00:00,9.0,A,08104300,8.66,A,8.75,A
2013-03-23 00:00:00+00:00,8.66,A,08104300,8.32,A,8.62,A
2013-03-24 00:00:00+00:00,8.66,A,08104300,7.66,A,8.46,A
2013-03-25 00:00:00+00:00,8.32,A,08104300,7.66,A,7.93,A
2013-03-26 00:00:00+00:00,8.32,A,08104300,8.0,A,8.05,A
2013-03-27 00:00:00+00:00,8.66,A,08104300,8.0,A,8.11,A
2013-03-28 00:00:00+00:00,8.32,A,08104300,8.0,A,8.13,A
2013-03-29 00:00:00+00:00,8.32,A,08104300,7.66,A,8.0,A
2013-03-30 00:00:00+00:00,8.32,A,08104300,7.66,A,7.9,A
2013-03-31 00:00:00+00:00,8.32,A,08104300,7.66,A,7.96,A
2013-04-01 00:00:00+00:00,8.32,A,08104300,8.0,A,8.09,A
2013-04-02 00:00:00+00:00,8.32,A,08104300,8.0,A,8.1,A
2013-04-03 00:00:00+00:00,10.0,A,08104300,8.32,A,9.27,A
2013-04-04 00:00:00+00:00,8.66,A,08104300,8.0,A,8.39,A
2013-04-05 00:00:00+00:00,8.0,A,08104300,7.66,A,7.98,A
2013-04-06 00:00:00+00:00,8.0,A,08104300,7.66,A,7.81,A
2013-04-07 00:00:00+00:00,8.0,A,08104300,7.66,A,7.83,A
2013-04-08 00:00:00+00:00,8.32,A,08104300,7.66,A,7.84,A
2013-04-09 00:00:00+00:00,8.32,A,08104300,8.0,A,8.15,A
2013-04-10 00:00:00+00:00,9.0,A,08104300,8.0,A,8.43,A
2013-04-11 00:00:00+00:00,8.66,A,08104300,8.32,A,8.56,A
2013-04-12 00:00:00+00:00,8.32,A,08104300,8.0,A,8.02,A
2013-04-13 00:00:00+00:00,8.32,A,08104300,7.66,A,8.1,A
2013-04-14 00:00:00+00:00,8.66,A,08104300,8.0,A,8.09,A
2013-04-15 00:00:00+00:00,8.32,A,08104300,8.0,A,8.2,A
2013-04-16 00:00:00+00:00,8.32,A,08104300,8.0,A,8.02,A
2013-04-17 00:00:00+00:00,8.0,A,08104300,7.66,A,7.84,A
2013-04-18 00:00:00+00:00,11.7,A,08104300,7.66,A,8.67,A
2013-04-19 00:00:00+00:00,8.32,A,08104300,7.66,A,8.02,A
2013-04-20 00:00:00+00:00,7.66,A,08104300,7.66,A,7.66,A
2013-04-21 00:00:00+00:00,7.66,A,08104300,7.32,A,7.44,A
2013-04-22 00:00:00+00:00,7.66,A,08104300,7.32,A,7.41,A
2013-04-23 00:00:00+00:00,7.32,A,08104300,7.32,A,7.32,A
2013-04-24 00:00:00+00:00,7.32,A,08104300,7.0,A,7.26,A
2013-04-25 00:00:00+00:00,7.0,A,08104300,7.0,A,7.0,A
2013-04-26 00:00:00+00:00,7.0,A,08104300,7.0,A,7.0,A
2013-04-27 00:00:00+00:00,7.32,A,08104300,7.0,A,7.01,A
2013-04-28 00:00:00+00:00,7.0,A,08104300,6.65,A,6.89,A
2013-04-29 00:00:00+00:00,6.65,A,08104300,6.32,A,6.55,A
2013-04-30 00:00:00+00:00,6.65,A,08104300,6.32,A,6.45,A
2013-05-01 00:00:00+00:00,6.65,A,08104300,6.32,A,6.37,A
2013-05-02 00:00:00+00:00,6.65,A,08104300,6.0,A,6.3,A
2013-05-03 00:00:00+00:00,6.32,A,08104300,5.32,A,5.92,A
2013-05-04 00:00:00+00:00,5.32,A,08104300,5.0,A,5.29,A
