datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
1970-01-01 00:00:00+00:00,,,08033000,,,1100.0,A
1970-01-02 00:00:00+00:00,,,08033000,,,1130.0,A
1970-01-03 00:00:00+00:00,,,08033000,,,1150.0,A
1970-01-04 00:00:00+00:00,,,08033000,,,1180.0,A
1970-01-05 00:00:00+00:00,,,08033000,,,1310.0,A
1970-01-06 00:00:00+00:00,,,08033000,,,1460.0,A
1970-01-07 00:00:00+00:00,,,08033000,,,1520.0,A
1970-01-08 00:00:00+00:00,,,08033000,,,1550.0,A
1970-01-09 00:00:00+00:00,,,08033000,,,1550.0,A
1970-01-10 00:00:00+00:00,,,08033000,,,1580.0,A
1970-01-11 00:00:00+00:00,,,08033000,,,1580.0,A
1970-01-12 00:00:00+00:00,,,08033000,,,1580.0,A
1970-01-13 00:00:00+00:00,,,08033000,,,1580.0,A
1970-01-14 00:00:00+00:00,,,08033000,,,1580.0,A
1970-01-15 00:00:00+00:00,,,08033000,,,1550.0,A
1970-01-16 00:00:00+00:00,,,08033000,,,1550.0,A
1970-01-17 00:00:00+00:00,,,08033000,,,1490.0,A
1970-01-18 00:00:00+00:00,,,08033000,,,1460.0,A
1970-01-19 00:00:00+00:00,,,08033000,,,1430.0,A
1970-01-20 00:00:00+00:00,,,08033000,,,1400.0,A
1970-01-21 00:00:00+00:00,,,08033000,,,1370.0,A
1970-01-22 00:00:00+00:00,,,08033000,,,1370.0,A
1970-01-23 00:00:00+00:00,,,08033000,,,1340.0,A
1970-01-24 00:00:00+00:00,,,08033000,,,1310.0,A
1970-01-25 00:00:00+00:00,,,08033000,,,1310.0,A
1970-01-26 00:00:00+00:00,,,08033000,,,1280.0,A
1970-01-27 00:00:00+00:00,,,08033000,,,1250.0,A
1970-01-28 00:00:00+00:00,,,08033000,,,1230.0,A
1970-01-29 00:00:00+00:00,,,08033000,,,1200.0,A
1970-01-30 00:00:00+00:00,,,08033000,,,1180.0,A
1970-01-31 00:00:00+00:00,,,08033000,,,1150.0,A
1970-02-01 00:00:00+00:00,,,08033000,,,1180.0,A
1970-02-02 00:00:00+00:00,,,08033000,,,1280.0,A
1970-02-03 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-04 00:00:00+00:00,,,08033000,,,1280.0,A
1970-02-05 00:00:00+00:00,,,08033000,,,1250.0,A
1970-02-06 00:00:00+00:00,,,08033000,,,1230.0,A
1970-02-07 00:00:00+00:00,,,08033000,,,1250.0,A
1970-02-08 00:00:00+00:00,,,08033000,,,1280.0,A
1970-02-09 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-10 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-11 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-12 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-13 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-14 00:00:00+00:00,,,08033000,,,1280.0,A
1970-02-15 00:00:00+00:00,,,08033000,,,1250.0,A
1970-02-16 00:00:00+00:00,,,08033000,,,1340.0,A
1970-02-17 00:00:00+00:00,,,08033000,,,1370.0,A
1970-02-18 00:00:00+00:00,,,08033000,,,1370.0,A
1970-02-19 00:00:00+00:00,,,08033000,,,1340.0,A
1970-02-20 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-21 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-22 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-23 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-24 00:00:00+00:00,,,08033000,,,1310.0,A
1970-02-25 00:00:00+00:00,,,08033000,,,1430.0,A
1970-02-26 00:00:00+00:00,,,08033000,,,1490.0,A
1970-02-27 00:00:00+00:00,,,08033000,,,1490.0,A
1970-02-28 00:00:00+00:00,,,08033000,,,1550.0,A
1970-03-01 00:00:00+00:00,,,08033000,,,1550.0,A
1970-03-02 00:00:00+00:00,,,08033000,,,1550.0,A
1970-03-03 00:00:00+00:00,,,08033000,,,1580.0,A
1970-03-04 00:00:00+00:00,,,08033000,,,1820.0,A
1970-03-05 00:00:00+00:00,,,08033000,,,1980.0,A
1970-03-06 00:00:00+00:00,,,08033000,,,2180.0,A
1970-03-07 00:00:00+00:00,,,08033000,,,2410.0,A
1970-03-08 00:00:00+00:00,,,08033000,,,2550.0,A
1970-03-09 00:00:00+00:00,,,08033000,,,2630.0,A
1970-03-10 00:00:00+00:00,,,08033000,,,2550.0,A
1970-03-11 00:00:00+00:00,,,08033000,,,2550.0,A
1970-03-12 00:00:00+00:00,,,08033000,,,2550.0,A
1970-03-13 00:00:00+00:00,,,08033000,,,2550.0,A
1970-03-14 00:00:00+00:00,,,08033000,,,2550.0,A
1970-03-15 00:00:00+00:00,,,08033000,,,2550.0,A
1970-03-16 00:00:00+00:00,,,08033000,,,2480.0,A
1970-03-17 00:00:00+00:00,,,08033000,,,2630.0,A
1970-03-18 00:00:00+00:00,,,08033000,,,2710.0,A
1970-03-19 00:00:00+00:00,,,08033000,,,2900.0,A
1970-03-20 00:00:00+00:00,,,08033000,,,3100.0,A
1970-03-21 00:00:00+00:00,,,08033000,,,3300.0,A
