datetime,00060_Mean,00060_Mean_cd,site_no
2016-05-17 00:00:00+00:00,381.0,"A, e",08053430
2016-05-18 00:00:00+00:00,376.0,A,08053430
2016-05-19 00:00:00+00:00,296.0,A,08053430
2016-05-20 00:00:00+00:00,296.0,A,08053430
2016-05-21 00:00:00+00:00,183.0,A,08053430
2016-05-22 00:00:00+00:00,129.0,A,08053430
2016-05-23 00:00:00+00:00,1780.0,A,08053430
2016-05-24 00:00:00+00:00,3180.0,A,08053430
2016-05-25 00:00:00+00:00,1290.0,A,08053430
2016-05-26 00:00:00+00:00,876.0,A,08053430
2016-05-27 00:00:00+00:00,1110.0,A,08053430
2016-05-28 00:00:00+00:00,751.0,A,08053430
2016-05-29 00:00:00+00:00,476.0,A,08053430
2016-05-30 00:00:00+00:00,1540.0,A,08053430
2016-05-31 00:00:00+00:00,860.0,A,08053430
2016-06-01 00:00:00+00:00,662.0,A,08053430
2016-06-02 00:00:00+00:00,1910.0,A,08053430
2016-06-03 00:00:00+00:00,3800.0,A,08053430
2016-06-04 00:00:00+00:00,1960.0,A,08053430
2016-06-05 00:00:00+00:00,1320.0,A,08053430
2016-06-06 00:00:00+00:00,927.0,A,08053430
2016-06-07 00:00:00+00:00,610.0,A,08053430
2016-06-08 00:00:00+00:00,447.0,A,08053430
2016-06-09 00:00:00+00:00,357.0,A,08053430
2016-06-10 00:00:00+00:00,289.0,A,08053430
2016-06-11 00:00:00+00:00,307.0,A,08053430
2016-06-12 00:00:00+00:00,990.0,A,08053430
2016-06-13 00:00:00+00:00,2370.0,A,08053430
2016-06-14 00:00:00+00:00,1250.0,A,08053430
2016-06-15 00:00:00+00:00,666.0,A,08053430
2016-06-16 00:00:00+00:00,438.0,A,08053430
2016-06-17 00:00:00+00:00,318.0,A,08053430
2016-06-18 00:00:00+00:00,232.0,A,08053430
2016-06-19 00:00:00+00:00,179.0,A,08053430
2016-06-20 00:00:00+00:00,144.0,A,08053430
2016-06-21 00:00:00+00:00,123.0,A,08053430
2016-06-22 00:00:00+00:00,108.0,A,08053430
2016-06-23 00:00:00+00:00,97.1,A,08053430
2016-06-24 00:00:00+00:00,91.2,A,08053430
2016-06-25 00:00:00+00:00,88.0,A,08053430
2016-06-26 00:00:00+00:00,86.9,A,08053430
2016-06-27 00:00:00+00:00,78.4,A,08053430
2016-06-28 00:00:00+00:00,75.5,A,08053430
2016-06-29 00:00:00+00:00,70.7,A,08053430
2016-06-30 00:00:00+00:00,68.1,A,08053430
2016-07-01 00:00:00+00:00,65.5,A,08053430
2016-07-02 00:00:00+00:00,61.4,A,08053430
2016-07-03 00:00:00+00:00,59.2,A,08053430
2016-07-04 00:00:00+00:00,131.0,A,08053430
2016-07-05 00:00:00+00:00,116.0,A,08053430
2016-07-06 00:00:00+00:00,91.7,A,08053430
2016-07-07 00:00:00+00:00,73.8,A,08053430
2016-07-08 00:00:00+00:00,65.1,A,08053430
2016-07-09 00:00:00+00:00,64.7,A,08053430
2016-07-10 00:00:00+00:00,61.6,A,08053430
2016-07-11 00:00:00+00:00,60.4,A,08053430
2016-07-12 00:00:00+00:00,48.7,A,08053430
2016-07-13 00:00:00+00:00,44.3,A,08053430
2016-07-14 00:00:00+00:00,41.8,A,08053430
2016-07-15 00:00:00+00:00,65.3,A,08053430
2016-07-16 00:00:00+00:00,63.5,A,08053430
2016-07-17 00:00:00+00:00,50.0,A,08053430
2016-07-18 00:00:00+00:00,43.1,A,08053430
2016-07-19 00:00:00+00:00,38.3,A,08053430
2016-07-20 00:00:00+00:00,29.7,A,08053430
2016-07-21 00:00:00+00:00,24.1,A,08053430
2016-07-22 00:00:00+00:00,23.3,A,08053430
2016-07-23 00:00:00+00:00,22.7,A,08053430
2016-07-24 00:00:00+00:00,20.8,A,08053430
2016-07-25 00:00:00+00:00,19.5,A,08053430
2016-07-26 00:00:00+00:00,20.3,A,08053430
2016-07-27 00:00:00+00:00,22.5,A,08053430
2016-07-28 00:00:00+00:00,23.7,A,08053430
2016-07-29 00:00:00+00:00,21.5,A,08053430
2016-07-30 00:00:00+00:00,19.3,A,08053430
2016-07-31 00:00:00+00:00,17.1,A,08053430
2016-08-01 00:00:00+00:00,15.2,A,08053430
2016-08-02 00:00:00+00:00,14.2,A,08053430
2016-08-03 00:00:00+00:00,14.8,A,08053430
2016-08-04 00:00:00+00:00,13.5,A,08053430
2016-08-05 00:00:00+00:00,12.7,A,08053430
2016-08-06 00:00:00+00:00,12.1,A,08053430
2016-08-07 00:00:00+00:00,11.8,A,08053430
2016-08-08 00:00:00+00:00,11.9,A,08053430
2016-08-09 00:00:00+00:00,15.6,A,08053430
2016-08-10 00:00:00+00:00,11.7,A,08053430
2016-08-11 00:00:00+00:00,10.9,A,08053430
2016-08-12 00:00:00+00:00,10.5,A,08053430
2016-08-13 00:00:00+00:00,18.3,A,08053430
2016-08-14 00:00:00+00:00,21.5,A,08053430
2016-08-15 00:00:00+00:00,13.4,A,08053430
2016-08-16 00:00:00+00:00,12.5,A,08053430
2016-08-17 00:00:00+00:00,12.5,A,08053430
2016-08-18 00:00:00+00:00,13.4,A,08053430
2016-08-19 00:00:00+00:00,338.0,A,08053430
2016-08-20 00:00:00+00:00,744.0,A,08053430
2016-08-21 00:00:00+00:00,273.0,A,08053430
2016-08-22 00:00:00+00:00,121.0,A,08053430
2016-08-23 00:00:00+00:00,74.5,A,08053430
2016-08-24 00:00:00+00:00,45.1,A,08053430
2016-08-25 00:00:00+00:00,28.6,A,08053430
2016-08-26 00:00:00+00:00,25.6,A,08053430
2016-08-27 00:00:00+00:00,25.2,A,08053430
2016-08-28 00:00:00+00:00,24.0,A,08053430
2016-08-29 00:00:00+00:00,22.8,A,08053430
2016-08-30 00:00:00+00:00,22.7,A,08053430
2016-08-31 00:00:00+00:00,22.0,A,08053430
2016-09-01 00:00:00+00:00,27.0,A,08053430
2016-09-02 00:00:00+00:00,31.6,A,08053430
2016-09-03 00:00:00+00:00,26.4,A,08053430
2016-09-04 00:00:00+00:00,22.4,A,08053430
2016-09-05 00:00:00+00:00,20.7,A,08053430
2016-09-06 00:00:00+00:00,18.6,A,08053430
2016-09-07 00:00:00+00:00,17.3,A,08053430
2016-09-08 00:00:00+00:00,16.2,A,08053430
2016-09-09 00:00:00+00:00,15.1,A,08053430
2016-09-10 00:00:00+00:00,47.8,A,08053430
2016-09-11 00:00:00+00:00,32.5,A,08053430
2016-09-12 00:00:00+00:00,21.7,A,08053430
2016-09-13 00:00:00+00:00,19.5,A,08053430
2016-09-14 00:00:00+00:00,18.7,A,08053430
2016-09-15 00:00:00+00:00,19.0,A,08053430
2016-09-16 00:00:00+00:00,21.0,A,08053430
2016-09-17 00:00:00+00:00,19.6,A,08053430
2016-09-18 00:00:00+00:00,19.4,A,08053430
2016-09-19 00:00:00+00:00,23.5,A,08053430
2016-09-20 00:00:00+00:00,18.7,A,08053430
2016-09-21 00:00:00+00:00,19.4,A,08053430
2016-09-22 00:00:00+00:00,18.9,A,08053430
2016-09-23 00:00:00+00:00,29.3,A,08053430
2016-09-24 00:00:00+00:00,26.4,A,08053430
2016-09-25 00:00:00+00:00,30.5,A,08053430
