datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2010-08-11 00:00:00+00:00,,,08072600,,,40.0,A
2010-08-12 00:00:00+00:00,41.4,A,08072600,34.8,A,37.8,A
2010-08-13 00:00:00+00:00,42.5,A,08072600,36.9,A,39.3,A
2010-08-14 00:00:00+00:00,38.0,A,08072600,32.7,A,35.9,A
2010-08-15 00:00:00+00:00,36.9,A,08072600,32.7,A,34.2,A
2010-08-16 00:00:00+00:00,43.7,A,08072600,31.6,A,35.6,A
2010-08-17 00:00:00+00:00,79.8,A,08072600,43.7,A,69.5,A
2010-08-18 00:00:00+00:00,71.9,A,08072600,53.3,A,63.1,A
2010-08-19 00:00:00+00:00,54.5,A,08072600,41.4,A,47.6,A
2010-08-20 00:00:00+00:00,43.7,A,08072600,33.7,A,38.4,A
2010-08-21 00:00:00+00:00,35.8,A,08072600,30.6,A,33.7,A
2010-08-22 00:00:00+00:00,34.8,A,08072600,28.6,A,32.6,A
2010-08-23 00:00:00+00:00,47.2,A,08072600,29.6,A,33.4,A
2010-08-24 00:00:00+00:00,46.0,A,08072600,33.7,A,38.0,A
2010-08-25 00:00:00+00:00,44.8,A,08072600,31.6,A,37.5,A
2010-08-26 00:00:00+00:00,33.7,A,08072600,28.6,A,31.3,A
2010-08-27 00:00:00+00:00,31.6,A,08072600,25.7,A,29.7,A
2010-08-28 00:00:00+00:00,31.6,A,08072600,26.7,A,29.2,A
2010-08-29 00:00:00+00:00,36.9,A,08072600,28.6,A,32.1,A
2010-08-30 00:00:00+00:00,40.2,A,08072600,30.6,A,35.8,A
2010-08-31 00:00:00+00:00,173.0,A,08072600,32.7,A,117.0,A
2010-09-01 00:00:00+00:00,170.0,A,08072600,105.0,A,139.0,A
2010-09-02 00:00:00+00:00,107.0,A,08072600,66.8,A,86.6,A
2010-09-03 00:00:00+00:00,89.4,A,08072600,60.6,A,72.5,A
2010-09-04 00:00:00+00:00,89.4,A,08072600,60.6,A,75.2,A
2010-09-05 00:00:00+00:00,81.2,A,08072600,60.6,A,72.3,A
2010-09-06 00:00:00+00:00,959.0,A,08072600,66.8,A,184.0,A
2010-09-07 00:00:00+00:00,363.0,A,08072600,52.0,A,137.0,A
2010-09-08 00:00:00+00:00,174.0,A,08072600,82.5,A,115.0,A
2010-09-09 00:00:00+00:00,877.0,A,08072600,59.4,A,492.0,A
2010-09-10 00:00:00+00:00,1040.0,A,08072600,815.0,A,921.0,A
2010-09-11 00:00:00+00:00,1010.0,A,08072600,283.0,A,778.0,A
2010-09-12 00:00:00+00:00,283.0,A,08072600,89.4,A,151.0,A
2010-09-13 00:00:00+00:00,92.2,A,08072600,78.5,A,87.0,A
2010-09-14 00:00:00+00:00,79.8,A,08072600,60.6,A,71.5,A
2010-09-15 00:00:00+00:00,106.0,A,08072600,60.6,A,84.1,A
2010-09-16 00:00:00+00:00,109.0,A,08072600,92.2,A,100.0,A
2010-09-17 00:00:00+00:00,92.2,A,08072600,71.9,A,80.6,A
2010-09-18 00:00:00+00:00,73.2,A,08072600,64.3,A,69.0,A
2010-09-19 00:00:00+00:00,70.7,A,08072600,63.1,A,66.8,A
2010-09-20 00:00:00+00:00,77.2,A,08072600,65.6,A,72.9,A
2010-09-21 00:00:00+00:00,81.2,A,08072600,63.1,A,68.5,A
2010-09-22 00:00:00+00:00,71.9,A,08072600,53.3,A,62.0,A
2010-09-23 00:00:00+00:00,127.0,A,08072600,46.0,A,65.1,A
2010-09-24 00:00:00+00:00,132.0,A,08072600,68.1,A,85.9,A
2010-09-25 00:00:00+00:00,159.0,A,08072600,130.0,A,150.0,A
2010-09-26 00:00:00+00:00,159.0,A,08072600,114.0,A,138.0,A
2010-09-27 00:00:00+00:00,114.0,A,08072600,65.6,A,87.0,A
2010-09-28 00:00:00+00:00,65.6,A,08072600,44.8,A,53.7,A
2010-09-29 00:00:00+00:00,46.0,A,08072600,35.8,A,40.2,A
2010-09-30 00:00:00+00:00,38.0,A,08072600,31.6,A,34.2,A
2010-10-01 00:00:00+00:00,33.7,A,08072600,28.6,A,31.6,A
2010-10-02 00:00:00+00:00,32.7,A,08072600,26.7,A,29.6,A
2010-10-03 00:00:00+00:00,30.6,A,08072600,26.7,A,28.4,A
2010-10-04 00:00:00+00:00,31.6,A,08072600,27.6,A,29.4,A
2010-10-05 00:00:00+00:00,31.6,A,08072600,26.7,A,28.7,A
2010-10-06 00:00:00+00:00,31.6,A,08072600,27.6,A,29.2,A
2010-10-07 00:00:00+00:00,30.6,A,08072600,27.6,A,29.3,A
2010-10-08 00:00:00+00:00,31.6,A,08072600,27.6,A,29.2,A
2010-10-09 00:00:00+00:00,30.6,A,08072600,25.7,A,28.1,A
2010-10-10 00:00:00+00:00,30.6,A,08072600,27.6,A,28.9,A
2010-10-11 00:00:00+00:00,31.6,A,08072600,28.6,A,29.9,A
2010-10-12 00:00:00+00:00,31.6,A,08072600,28.6,A,30.2,A
2010-10-13 00:00:00+00:00,31.6,A,08072600,26.7,A,28.8,A
2010-10-14 00:00:00+00:00,29.6,A,08072600,25.7,A,27.8,A
2010-10-15 00:00:00+00:00,30.6,A,08072600,27.6,A,29.1,A
2010-10-16 00:00:00+00:00,30.6,A,08072600,27.6,A,29.2,A
2010-10-17 00:00:00+00:00,30.6,A,08072600,27.6,A,29.7,A
2010-10-18 00:00:00+00:00,33.7,A,08072600,28.6,A,31.7,A
2010-10-19 00:00:00+00:00,32.7,A,08072600,28.6,A,30.6,A
2010-10-20 00:00:00+00:00,30.6,A,08072600,28.6,A,29.4,A
2010-10-21 00:00:00+00:00,29.6,A,08072600,26.7,A,28.4,A
