datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2015-07-23 00:00:00+00:00,8.95,A,08067920,7.73,A,8.55,A
2015-07-24 00:00:00+00:00,8.64,A,08067920,7.44,A,8.07,A
2015-07-25 00:00:00+00:00,8.34,A,08067920,7.15,A,7.82,A
2015-07-26 00:00:00+00:00,7.73,A,08067920,6.57,A,7.19,A
2015-07-27 00:00:00+00:00,7.15,A,08067920,5.75,A,6.85,A
2015-07-28 00:00:00+00:00,10.2,A,08067920,6.29,A,7.04,A
2015-07-29 00:00:00+00:00,10.2,A,08067920,6.29,A,7.63,A
2015-07-30 00:00:00+00:00,6.86,A,08067920,5.21,A,6.25,A
2015-07-31 00:00:00+00:00,6.02,A,08067920,4.95,A,5.75,A
2015-08-01 00:00:00+00:00,7.15,A,08067920,6.02,A,6.7,A
2015-08-02 00:00:00+00:00,6.29,A,08067920,4.95,A,5.58,A
2015-08-03 00:00:00+00:00,5.48,A,08067920,4.7,A,5.08,A
2015-08-04 00:00:00+00:00,5.21,A,08067920,3.95,A,4.84,A
2015-08-05 00:00:00+00:00,6.02,A,08067920,4.2,A,4.82,A
2015-08-06 00:00:00+00:00,4.95,A,08067920,3.25,A,4.53,A
2015-08-07 00:00:00+00:00,4.7,A,08067920,3.95,A,4.33,A
2015-08-08 00:00:00+00:00,4.95,A,08067920,4.2,A,4.53,A
2015-08-09 00:00:00+00:00,4.7,A,08067920,3.72,A,4.2,A
2015-08-10 00:00:00+00:00,4.44,A,08067920,3.25,A,3.81,A
2015-08-11 00:00:00+00:00,4.44,A,08067920,2.6,A,3.73,A
2015-08-12 00:00:00+00:00,4.7,A,08067920,3.48,A,4.06,A
2015-08-13 00:00:00+00:00,4.95,A,08067920,3.72,A,4.32,A
2015-08-14 00:00:00+00:00,4.2,A,08067920,3.25,A,3.79,A
2015-08-15 00:00:00+00:00,3.95,A,08067920,2.81,A,3.52,A
2015-08-16 00:00:00+00:00,3.95,A,08067920,2.81,A,3.47,A
2015-08-17 00:00:00+00:00,4.95,A,08067920,3.72,A,4.27,A
2015-08-18 00:00:00+00:00,4.95,A,08067920,3.25,A,4.14,A
2015-08-19 00:00:00+00:00,4.95,A,08067920,3.48,A,4.25,A
2015-08-20 00:00:00+00:00,8.03,A,08067920,3.72,A,6.09,A
2015-08-21 00:00:00+00:00,10.2,A,08067920,6.86,A,9.44,A
2015-08-22 00:00:00+00:00,9.26,A,08067920,6.02,A,7.61,A
2015-08-23 00:00:00+00:00,6.57,A,08067920,5.48,A,6.09,A
