datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2013-09-12 00:00:00+00:00,9.65,A,08066175,2.55,A,8.74,A
2013-09-13 00:00:00+00:00,10.2,A,08066175,7.8,A,9.16,A
2013-09-14 00:00:00+00:00,9.65,A,08066175,7.8,A,9.0,A
2013-09-15 00:00:00+00:00,9.65,A,08066175,8.9,A,9.6,A
2013-09-16 00:00:00+00:00,10.2,A,08066175,1.6,A,6.87,A
2013-09-17 00:00:00+00:00,2.55,A,08066175,0.33,A,0.92,A
2013-09-18 00:00:00+00:00,0.58,A,08066175,0.19,A,0.32,A
2013-09-19 00:00:00+00:00,0.33,A,08066175,0.19,A,0.26,A
2013-09-20 00:00:00+00:00,411.0,A,08066175,0.33,A,31.3,A
2013-09-21 00:00:00+00:00,463.0,A,08066175,15.2,A,118.0,A
2013-09-22 00:00:00+00:00,15.8,A,08066175,8.9,A,11.9,A
2013-09-23 00:00:00+00:00,8.9,A,08066175,4.0,A,6.4,A
2013-09-24 00:00:00+00:00,7.8,A,08066175,4.0,A,5.77,A
2013-09-25 00:00:00+00:00,6.0,A,08066175,2.55,A,4.13,A
2013-09-26 00:00:00+00:00,2.55,A,08066175,1.6,A,2.45,A
2013-09-27 00:00:00+00:00,2.55,A,08066175,1.6,A,1.65,A
2013-09-28 00:00:00+00:00,1.6,A,08066175,0.97,A,1.45,A
2013-09-29 00:00:00+00:00,710.0,A,08066175,1.6,A,103.0,A
2013-09-30 00:00:00+00:00,22.9,A,08066175,8.9,A,12.7,A
2013-10-01 00:00:00+00:00,8.9,A,08066175,1.6,A,4.06,A
2013-10-02 00:00:00+00:00,2.56,A,08066175,1.6,A,2.0,A
2013-10-03 00:00:00+00:00,1.6,A,08066175,0.97,A,1.59,A
2013-10-04 00:00:00+00:00,1.6,A,08066175,0.97,A,1.09,A
2013-10-05 00:00:00+00:00,0.97,A,08066175,0.58,A,0.85,A
2013-10-06 00:00:00+00:00,0.58,A,08066175,0.33,A,0.48,A
2013-10-07 00:00:00+00:00,0.33,A,08066175,0.19,A,0.23,A
2013-10-08 00:00:00+00:00,0.19,A,08066175,0.1,A,0.16,A
2013-10-09 00:00:00+00:00,0.19,A,08066175,0.1,A,0.11,A
2013-10-10 00:00:00+00:00,0.1,A,08066175,0.1,A,0.1,A
2013-10-11 00:00:00+00:00,0.1,A,08066175,0.1,A,0.1,A
2013-10-12 00:00:00+00:00,1.6,A,08066175,0.1,A,0.41,A
2013-10-13 00:00:00+00:00,463.0,A,08066175,0.97,A,112.0,A
2013-10-14 00:00:00+00:00,18.1,A,08066175,10.8,A,13.6,A
2013-10-15 00:00:00+00:00,10.8,A,08066175,4.0,A,7.9,A
2013-10-16 00:00:00+00:00,4.0,A,08066175,2.56,A,3.01,A
2013-10-17 00:00:00+00:00,2.56,A,08066175,2.56,A,2.56,A
2013-10-18 00:00:00+00:00,2.56,A,08066175,2.56,A,2.56,A
2013-10-19 00:00:00+00:00,2.56,A,08066175,1.6,A,1.99,A
2013-10-20 00:00:00+00:00,1.6,A,08066175,0.33,A,0.62,A
2013-10-21 00:00:00+00:00,0.33,A,08066175,0.19,A,0.33,A
2013-10-22 00:00:00+00:00,0.33,A,08066175,0.06,A,0.27,A
2013-10-23 00:00:00+00:00,0.06,A,08066175,0.01,A,0.03,A
2013-10-24 00:00:00+00:00,0.01,A,08066175,0.0,A,0.01,A
2013-10-25 00:00:00+00:00,0.0,A,08066175,0.0,A,0.0,A
2013-10-26 00:00:00+00:00,0.0,A,08066175,0.0,A,0.0,A
2013-10-27 00:00:00+00:00,2.56,A,08066175,0.0,A,0.46,A
2013-10-28 00:00:00+00:00,6.0,A,08066175,0.19,A,1.28,A
2013-10-29 00:00:00+00:00,0.19,A,08066175,0.03,A,0.07,A
2013-10-30 00:00:00+00:00,1050.0,A,08066175,0.06,A,392.0,A
2013-10-31 00:00:00+00:00,,,08066175,,,1280.0,A
2013-11-01 00:00:00+00:00,655.0,A,08066175,26.7,A,189.0,A
2013-11-02 00:00:00+00:00,41.4,A,08066175,19.8,A,26.8,A
2013-11-03 00:00:00+00:00,26.7,A,08066175,13.0,A,18.7,A
2013-11-04 00:00:00+00:00,22.3,A,08066175,10.2,A,14.2,A
2013-11-05 00:00:00+00:00,21.0,A,08066175,9.65,A,12.1,A
2013-11-06 00:00:00+00:00,16.9,A,08066175,2.56,A,10.6,A
2013-11-07 00:00:00+00:00,15.8,A,08066175,0.58,A,6.51,A
2013-11-08 00:00:00+00:00,15.2,A,08066175,0.1,A,4.1,A
2013-11-09 00:00:00+00:00,13.5,A,08066175,0.1,A,3.58,A
2013-11-10 00:00:00+00:00,13.0,A,08066175,0.06,A,2.61,A
2013-11-11 00:00:00+00:00,13.0,A,08066175,0.03,A,3.09,A
2013-11-12 00:00:00+00:00,13.0,A,08066175,0.03,A,4.16,A
2013-11-13 00:00:00+00:00,24.1,A,08066175,0.01,A,3.69,A
2013-11-14 00:00:00+00:00,13.0,A,08066175,0.0,A,1.69,A
2013-11-15 00:00:00+00:00,18.7,A,08066175,0.0,A,2.86,A
2013-11-16 00:00:00+00:00,15.2,A,08066175,0.0,A,3.79,A
2013-11-17 00:00:00+00:00,15.8,A,08066175,0.0,A,4.7,A
2013-11-18 00:00:00+00:00,15.8,A,08066175,0.01,A,2.92,A
