datetime,00060_from dcp_Maximum,00060_from dcp_Maximum_cd,site_no,00060_from dcp_Minimum,00060_from dcp_Minimum_cd,00060_from dcp_Mean,00060_from dcp_Mean_cd
2015-05-30 00:00:00+00:00,17200.0,A,08049300,16400.0,A,16600.0,A
2015-05-31 00:00:00+00:00,16500.0,A,08049300,15300.0,A,16000.0,A
2015-06-01 00:00:00+00:00,15300.0,A,08049300,13300.0,A,14200.0,A
2015-06-02 00:00:00+00:00,13300.0,A,08049300,12700.0,A,12900.0,A
2015-06-03 00:00:00+00:00,12700.0,A,08049300,12300.0,A,12500.0,A
2015-06-04 00:00:00+00:00,12300.0,A,08049300,12000.0,A,12100.0,A
2015-06-05 00:00:00+00:00,12000.0,A,08049300,12000.0,A,12000.0,A
2015-06-06 00:00:00+00:00,12000.0,A,08049300,11900.0,A,11900.0,A
2015-06-07 00:00:00+00:00,11900.0,A,08049300,11400.0,A,11700.0,A
2015-06-08 00:00:00+00:00,11400.0,A,08049300,9480.0,A,10700.0,A
2015-06-09 00:00:00+00:00,9480.0,A,08049300,6780.0,A,7930.0,A
2015-06-10 00:00:00+00:00,6780.0,A,08049300,5090.0,A,5770.0,A
2015-06-11 00:00:00+00:00,5100.0,A,08049300,3400.0,A,4300.0,A
2015-06-12 00:00:00+00:00,3400.0,A,08049300,2000.0,A,2540.0,A
2015-06-13 00:00:00+00:00,2040.0,A,08049300,1810.0,A,1900.0,A
2015-06-14 00:00:00+00:00,2310.0,A,08049300,2040.0,A,2180.0,A
2015-06-15 00:00:00+00:00,2210.0,A,08049300,1780.0,A,1940.0,A
2015-06-16 00:00:00+00:00,3780.0,A,08049300,1800.0,A,2630.0,A
2015-06-17 00:00:00+00:00,13900.0,A,08049300,3780.0,A,8700.0,A
2015-06-18 00:00:00+00:00,14100.0,A,08049300,11900.0,A,13200.0,A
2015-06-19 00:00:00+00:00,12100.0,A,08049300,11500.0,A,11700.0,A
2015-06-20 00:00:00+00:00,13800.0,A,08049300,12100.0,A,13000.0,A
2015-06-21 00:00:00+00:00,14300.0,A,08049300,13800.0,A,14100.0,A
2015-06-22 00:00:00+00:00,14300.0,A,08049300,14000.0,A,14300.0,A
2015-06-23 00:00:00+00:00,14000.0,A,08049300,12500.0,A,13300.0,A
2015-06-24 00:00:00+00:00,12500.0,A,08049300,10800.0,A,11600.0,A
2015-06-25 00:00:00+00:00,10800.0,A,08049300,8600.0,A,9780.0,A
2015-06-26 00:00:00+00:00,8600.0,A,08049300,6160.0,A,7340.0,A
2015-06-27 00:00:00+00:00,6270.0,A,08049300,4780.0,A,5810.0,A
2015-06-28 00:00:00+00:00,4780.0,A,08049300,2640.0,A,3490.0,A
2015-06-29 00:00:00+00:00,2640.0,A,08049300,2050.0,A,2280.0,A
2015-06-30 00:00:00+00:00,2060.0,A,08049300,1820.0,A,1920.0,A
2015-07-01 00:00:00+00:00,2030.0,A,08049300,1110.0,A,1540.0,A
2015-07-02 00:00:00+00:00,1110.0,A,08049300,757.0,A,866.0,A
2015-07-03 00:00:00+00:00,1230.0,A,08049300,748.0,A,1070.0,A
2015-07-04 00:00:00+00:00,1210.0,A,08049300,1080.0,A,1140.0,A
2015-07-05 00:00:00+00:00,1160.0,A,08049300,1020.0,A,1060.0,A
2015-07-06 00:00:00+00:00,1810.0,A,08049300,1160.0,A,1520.0,A
2015-07-07 00:00:00+00:00,1920.0,A,08049300,1800.0,A,1850.0,A
2015-07-08 00:00:00+00:00,4470.0,A,08049300,1770.0,A,2470.0,A
2015-07-09 00:00:00+00:00,4270.0,A,08049300,2250.0,A,2660.0,A
2015-07-10 00:00:00+00:00,2640.0,A,08049300,2360.0,A,2510.0,A
2015-07-11 00:00:00+00:00,2770.0,A,08049300,2630.0,A,2690.0,A
2015-07-12 00:00:00+00:00,2820.0,A,08049300,2700.0,A,2750.0,A
2015-07-13 00:00:00+00:00,2820.0,A,08049300,2710.0,A,2770.0,A
2015-07-14 00:00:00+00:00,2800.0,A,08049300,2700.0,A,2760.0,A
2015-07-15 00:00:00+00:00,2780.0,A,08049300,2520.0,A,2650.0,A
2015-07-16 00:00:00+00:00,2530.0,A,08049300,2150.0,A,2290.0,A
2015-07-17 00:00:00+00:00,2150.0,A,08049300,1920.0,A,2000.0,A
2015-07-18 00:00:00+00:00,1920.0,A,08049300,1790.0,A,1840.0,A
2015-07-19 00:00:00+00:00,1810.0,A,08049300,1700.0,A,1750.0,A
2015-07-20 00:00:00+00:00,1740.0,A,08049300,1670.0,A,1710.0,A
2015-07-21 00:00:00+00:00,1710.0,A,08049300,1640.0,A,1680.0,A
2015-07-22 00:00:00+00:00,1690.0,A,08049300,1580.0,A,1660.0,A
2015-07-23 00:00:00+00:00,1580.0,A,08049300,698.0,A,890.0,A
2015-07-24 00:00:00+00:00,707.0,A,08049300,611.0,A,674.0,A
2015-07-25 00:00:00+00:00,611.0,A,08049300,321.0,A,396.0,A
2015-07-26 00:00:00+00:00,321.0,A,08049300,258.0,A,291.0,A
