datetime,00060_from dcp_Mean,00060_from dcp_Mean_cd,site_no
1970-04-28 00:00:00+00:00,220.0,A,08057300
1970-04-29 00:00:00+00:00,181.0,A,08057300
1970-04-30 00:00:00+00:00,279.0,A,08057300
1970-05-01 00:00:00+00:00,345.0,A,08057300
1970-05-02 00:00:00+00:00,191.0,A,08057300
1970-05-03 00:00:00+00:00,134.0,A,08057300
1970-05-04 00:00:00+00:00,105.0,A,08057300
1970-05-05 00:00:00+00:00,105.0,A,08057300
1970-05-06 00:00:00+00:00,42.0,A,08057300
1970-05-07 00:00:00+00:00,8.2,A,08057300
1970-05-08 00:00:00+00:00,10.0,A,08057300
1970-05-09 00:00:00+00:00,39.0,A,08057300
1970-05-10 00:00:00+00:00,136.0,A,08057300
1970-05-11 00:00:00+00:00,52.0,A,08057300
1970-05-12 00:00:00+00:00,9.4,A,08057300
1970-05-13 00:00:00+00:00,9.7,A,08057300
1970-05-14 00:00:00+00:00,95.0,A,08057300
1970-05-15 00:00:00+00:00,101.0,A,08057300
1970-05-16 00:00:00+00:00,89.0,A,08057300
1970-05-17 00:00:00+00:00,80.0,A,08057300
1970-05-18 00:00:00+00:00,74.0,A,08057300
1970-05-19 00:00:00+00:00,65.0,A,08057300
1970-05-20 00:00:00+00:00,47.0,A,08057300
1970-05-21 00:00:00+00:00,56.0,A,08057300
1970-05-22 00:00:00+00:00,73.0,A,08057300
1970-05-23 00:00:00+00:00,100.0,A,08057300
1970-05-24 00:00:00+00:00,92.0,A,08057300
1970-05-25 00:00:00+00:00,85.0,A,08057300
1970-05-26 00:00:00+00:00,86.0,A,08057300
1970-05-27 00:00:00+00:00,114.0,A,08057300
1970-05-28 00:00:00+00:00,149.0,A,08057300
1970-05-29 00:00:00+00:00,152.0,A,08057300
1970-05-30 00:00:00+00:00,480.0,A,08057300
1970-05-31 00:00:00+00:00,2900.0,A,08057300
1970-06-01 00:00:00+00:00,1090.0,A,08057300
1970-06-02 00:00:00+00:00,512.0,A,08057300
1970-06-03 00:00:00+00:00,242.0,A,08057300
1970-06-04 00:00:00+00:00,162.0,A,08057300
1970-06-05 00:00:00+00:00,161.0,A,08057300
1970-06-06 00:00:00+00:00,161.0,A,08057300
1970-06-07 00:00:00+00:00,144.0,A,08057300
1970-06-08 00:00:00+00:00,129.0,A,08057300
1970-06-09 00:00:00+00:00,119.0,A,08057300
1970-06-10 00:00:00+00:00,68.0,A,08057300
1970-06-11 00:00:00+00:00,82.0,A,08057300
1970-06-12 00:00:00+00:00,89.0,A,08057300
1970-06-13 00:00:00+00:00,82.0,A,08057300
1970-06-14 00:00:00+00:00,75.0,A,08057300
1970-06-15 00:00:00+00:00,67.0,A,08057300
1970-06-16 00:00:00+00:00,61.0,A,08057300
1970-06-17 00:00:00+00:00,17.0,A,08057300
1970-06-18 00:00:00+00:00,33.0,A,08057300
1970-06-19 00:00:00+00:00,44.0,A,08057300
1970-06-20 00:00:00+00:00,39.0,A,08057300
1970-06-21 00:00:00+00:00,37.0,A,08057300
1970-06-22 00:00:00+00:00,35.0,A,08057300
1970-06-23 00:00:00+00:00,37.0,A,08057300
1970-06-24 00:00:00+00:00,36.0,A,08057300
1970-06-25 00:00:00+00:00,34.0,A,08057300
1970-06-26 00:00:00+00:00,32.0,A,08057300
1970-06-27 00:00:00+00:00,29.0,A,08057300
1970-06-28 00:00:00+00:00,24.0,A,08057300
1970-06-29 00:00:00+00:00,22.0,A,08057300
1970-06-30 00:00:00+00:00,20.0,A,08057300
1970-07-01 00:00:00+00:00,18.0,A,08057300
1970-07-02 00:00:00+00:00,15.0,A,08057300
1970-07-03 00:00:00+00:00,13.0,A,08057300
1970-07-04 00:00:00+00:00,12.0,A,08057300
1970-07-05 00:00:00+00:00,10.0,A,08057300
1970-07-06 00:00:00+00:00,8.2,A,08057300
1970-07-07 00:00:00+00:00,6.5,A,08057300
1970-07-08 00:00:00+00:00,6.2,A,08057300
1970-07-09 00:00:00+00:00,6.0,A,08057300
1970-07-10 00:00:00+00:00,4.5,A,08057300
1970-07-11 00:00:00+00:00,3.7,A,08057300
1970-07-12 00:00:00+00:00,4.1,A,08057300
1970-07-13 00:00:00+00:00,4.3,A,08057300
1970-07-14 00:00:00+00:00,2.9,A,08057300
1970-07-15 00:00:00+00:00,2.2,A,08057300
1970-07-16 00:00:00+00:00,1.7,A,08057300
1970-07-17 00:00:00+00:00,1.4,A,08057300
1970-07-18 00:00:00+00:00,1.3,A,08057300
1970-07-19 00:00:00+00:00,1.1,A,08057300
1970-07-20 00:00:00+00:00,0.67,A,08057300
1970-07-21 00:00:00+00:00,0.45,A,08057300
1970-07-22 00:00:00+00:00,0.67,A,08057300
1970-07-23 00:00:00+00:00,0.59,A,08057300
1970-07-24 00:00:00+00:00,0.52,A,08057300
1970-07-25 00:00:00+00:00,0.45,A,08057300
1970-07-26 00:00:00+00:00,0.52,A,08057300
1970-07-27 00:00:00+00:00,0.38,A,08057300
1970-07-28 00:00:00+00:00,0.25,A,08057300
1970-07-29 00:00:00+00:00,0.45,A,08057300
1970-07-30 00:00:00+00:00,0.38,A,08057300
1970-07-31 00:00:00+00:00,0.25,A,08057300
1970-08-01 00:00:00+00:00,0.15,A,08057300
1970-08-02 00:00:00+00:00,0.02,A,08057300
1970-08-03 00:00:00+00:00,0.0,A,08057300
1970-08-04 00:00:00+00:00,0.0,A,08057300
1970-08-05 00:00:00+00:00,0.0,A,08057300
1970-08-06 00:00:00+00:00,0.0,A,08057300
1970-08-07 00:00:00+00:00,0.0,A,08057300
1970-08-08 00:00:00+00:00,0.0,A,08057300
1970-08-09 00:00:00+00:00,0.0,A,08057300
1970-08-10 00:00:00+00:00,0.0,A,08057300
1970-08-11 00:00:00+00:00,0.0,A,08057300
1970-08-12 00:00:00+00:00,0.0,A,08057300
1970-08-13 00:00:00+00:00,0.0,A,08057300
1970-08-14 00:00:00+00:00,0.0,A,08057300
1970-08-15 00:00:00+00:00,0.0,A,08057300
1970-08-16 00:00:00+00:00,0.0,A,08057300
1970-08-17 00:00:00+00:00,0.0,A,08057300
1970-08-18 00:00:00+00:00,0.0,A,08057300
1970-08-19 00:00:00+00:00,0.0,A,08057300
1970-08-20 00:00:00+00:00,0.0,A,08057300
1970-08-21 00:00:00+00:00,0.0,A,08057300
1970-08-22 00:00:00+00:00,0.0,A,08057300
1970-08-23 00:00:00+00:00,0.0,A,08057300
1970-08-24 00:00:00+00:00,30.0,A,08057300
1970-08-25 00:00:00+00:00,57.0,A,08057300
1970-08-26 00:00:00+00:00,48.0,A,08057300
1970-08-27 00:00:00+00:00,40.0,A,08057300
1970-08-28 00:00:00+00:00,32.0,A,08057300
1970-08-29 00:00:00+00:00,26.0,A,08057300
1970-08-30 00:00:00+00:00,23.0,A,08057300
1970-08-31 00:00:00+00:00,19.0,A,08057300
1970-09-01 00:00:00+00:00,26.0,A,08057300
1970-09-02 00:00:00+00:00,155.0,A,08057300
1970-09-03 00:00:00+00:00,194.0,A,08057300
1970-09-04 00:00:00+00:00,153.0,A,08057300
