datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2004-12-09 00:00:00+00:00,28.1,A,07344493,22.2,A,24.6,A
2004-12-10 00:00:00+00:00,22.4,A,07344493,21.3,A,22.0,A
2004-12-11 00:00:00+00:00,21.3,A,07344493,15.7,A,19.5,A
2004-12-12 00:00:00+00:00,15.7,A,07344493,13.6,A,14.7,A
2004-12-13 00:00:00+00:00,19.6,A,07344493,13.4,A,16.2,A
2004-12-14 00:00:00+00:00,19.2,A,07344493,17.0,A,18.1,A
2004-12-15 00:00:00+00:00,18.7,A,07344493,16.4,A,17.4,A
2004-12-16 00:00:00+00:00,17.7,A,07344493,9.17,A,13.5,A
2004-12-17 00:00:00+00:00,10.4,A,07344493,9.17,A,9.78,A
2004-12-18 00:00:00+00:00,9.43,A,07344493,6.67,A,8.06,A
2004-12-19 00:00:00+00:00,6.67,A,07344493,6.01,A,6.18,A
2004-12-20 00:00:00+00:00,9.05,A,07344493,4.9,A,6.34,A
2004-12-21 00:00:00+00:00,10.4,A,07344493,8.55,A,9.33,A
2004-12-22 00:00:00+00:00,46.6,A,07344493,9.56,A,19.8,A
2004-12-23 00:00:00+00:00,52.7,A,07344493,22.2,A,37.0,A
2004-12-24 00:00:00+00:00,22.2,A,07344493,14.1,A,17.8,A
2004-12-25 00:00:00+00:00,14.1,A,07344493,12.3,A,12.8,A
2004-12-26 00:00:00+00:00,12.6,A,07344493,10.4,A,11.4,A
2004-12-27 00:00:00+00:00,12.8,A,07344493,9.96,A,11.6,A
2004-12-28 00:00:00+00:00,13.1,A,07344493,12.1,A,12.5,A
2004-12-29 00:00:00+00:00,12.4,A,07344493,12.1,A,12.3,A
2004-12-30 00:00:00+00:00,12.6,A,07344493,11.8,A,12.3,A
2004-12-31 00:00:00+00:00,12.3,A,07344493,8.31,A,9.88,A
2005-01-01 00:00:00+00:00,8.31,A,07344493,7.17,A,7.69,A
2005-01-02 00:00:00+00:00,9.17,A,07344493,6.67,A,7.05,A
2005-01-03 00:00:00+00:00,32.6,A,07344493,9.17,A,25.8,A
2005-01-04 00:00:00+00:00,29.5,A,07344493,26.3,A,28.3,A
2005-01-05 00:00:00+00:00,48.1,A,07344493,24.1,A,30.0,A
2005-01-06 00:00:00+00:00,55.6,A,07344493,39.8,A,48.2,A
2005-01-07 00:00:00+00:00,216.0,A,07344493,36.6,A,120.0,A
2005-01-08 00:00:00+00:00,222.0,A,07344493,131.0,A,192.0,A
2005-01-09 00:00:00+00:00,131.0,A,07344493,66.2,A,91.7,A
2005-01-10 00:00:00+00:00,66.2,A,07344493,47.7,A,55.8,A
2005-01-11 00:00:00+00:00,47.7,A,07344493,39.8,A,42.8,A
2005-01-12 00:00:00+00:00,69.0,A,07344493,32.0,A,38.0,A
2005-01-13 00:00:00+00:00,204.0,A,07344493,69.0,A,164.0,A
2005-01-14 00:00:00+00:00,137.0,A,07344493,56.0,A,86.9,A
2005-01-15 00:00:00+00:00,56.0,A,07344493,34.4,A,43.8,A
2005-01-16 00:00:00+00:00,34.4,A,07344493,26.6,A,30.2,A
2005-01-17 00:00:00+00:00,26.6,A,07344493,21.7,A,24.1,A
2005-01-18 00:00:00+00:00,23.1,A,07344493,20.4,A,22.1,A
2005-01-19 00:00:00+00:00,23.1,A,07344493,21.3,A,22.0,A
2005-01-20 00:00:00+00:00,21.3,A,07344493,20.2,A,20.8,A
2005-01-21 00:00:00+00:00,20.6,A,07344493,19.2,A,20.2,A
2005-01-22 00:00:00+00:00,19.8,A,07344493,17.2,A,18.7,A
2005-01-23 00:00:00+00:00,17.2,A,07344493,13.1,A,15.5,A
2005-01-24 00:00:00+00:00,16.4,A,07344493,12.4,A,14.1,A
2005-01-25 00:00:00+00:00,16.4,A,07344493,15.5,A,16.0,A
2005-01-26 00:00:00+00:00,17.0,A,07344493,15.8,A,16.4,A
2005-01-27 00:00:00+00:00,16.4,A,07344493,15.5,A,15.9,A
2005-01-28 00:00:00+00:00,16.2,A,07344493,14.6,A,15.5,A
2005-01-29 00:00:00+00:00,14.6,A,07344493,11.4,A,13.5,A
2005-01-30 00:00:00+00:00,14.4,A,07344493,11.2,A,12.9,A
