datetime,00060_Maximum,00060_Maximum_cd,site_no,00060_Minimum,00060_Minimum_cd,00060_Mean,00060_Mean_cd
2010-07-23 00:00:00+00:00,10.5,A,08045995,8.07,A,9.19,A
2010-07-24 00:00:00+00:00,14.2,A,08045995,8.07,A,12.1,A
2010-07-25 00:00:00+00:00,14.2,A,08045995,9.93,A,12.1,A
2010-07-26 00:00:00+00:00,12.8,A,08045995,9.93,A,11.5,A
2010-07-27 00:00:00+00:00,19.5,A,08045995,11.0,A,13.5,A
2010-07-28 00:00:00+00:00,1000.0,A,08045995,17.4,A,267.0,A
2010-07-29 00:00:00+00:00,62.7,A,08045995,30.8,A,42.6,A
2010-07-30 00:00:00+00:00,30.8,A,08045995,24.3,A,28.1,A
2010-07-31 00:00:00+00:00,24.3,A,08045995,21.5,A,22.9,A
2010-08-01 00:00:00+00:00,21.5,A,08045995,18.8,A,20.1,A
2010-08-02 00:00:00+00:00,20.2,A,08045995,16.1,A,18.1,A
2010-08-03 00:00:00+00:00,18.1,A,08045995,14.2,A,15.7,A
2010-08-04 00:00:00+00:00,15.5,A,08045995,12.2,A,13.5,A
2010-08-05 00:00:00+00:00,16.7,A,08045995,12.8,A,14.8,A
2010-08-06 00:00:00+00:00,14.9,A,08045995,12.2,A,13.3,A
2010-08-07 00:00:00+00:00,16.1,A,08045995,12.2,A,13.2,A
2010-08-08 00:00:00+00:00,16.1,A,08045995,10.5,A,13.0,A
2010-08-09 00:00:00+00:00,13.5,A,08045995,11.0,A,12.2,A
2010-08-10 00:00:00+00:00,12.8,A,08045995,9.44,A,11.3,A
2010-08-11 00:00:00+00:00,12.2,A,08045995,9.93,A,11.3,A
2010-08-12 00:00:00+00:00,11.6,A,08045995,8.96,A,10.8,A
2010-08-13 00:00:00+00:00,10.5,A,08045995,8.51,A,9.94,A
2010-08-14 00:00:00+00:00,10.5,A,08045995,8.07,A,9.42,A
2010-08-15 00:00:00+00:00,10.5,A,08045995,8.51,A,9.83,A
2010-08-16 00:00:00+00:00,11.6,A,08045995,8.96,A,10.7,A
2010-08-17 00:00:00+00:00,12.2,A,08045995,8.51,A,10.3,A
2010-08-18 00:00:00+00:00,11.0,A,08045995,8.96,A,10.1,A
2010-08-19 00:00:00+00:00,11.0,A,08045995,8.96,A,10.4,A
2010-08-20 00:00:00+00:00,11.0,A,08045995,8.07,A,9.82,A
2010-08-21 00:00:00+00:00,9.93,A,08045995,8.07,A,9.18,A
2010-08-22 00:00:00+00:00,8.51,A,08045995,7.25,A,7.85,A
2010-08-23 00:00:00+00:00,9.93,A,08045995,6.87,A,8.42,A
2010-08-24 00:00:00+00:00,9.44,A,08045995,7.65,A,8.77,A
2010-08-25 00:00:00+00:00,11.0,A,08045995,8.51,A,9.88,A
2010-08-26 00:00:00+00:00,13.5,A,08045995,9.44,A,11.4,A
2010-08-27 00:00:00+00:00,11.6,A,08045995,8.96,A,9.79,A
2010-08-28 00:00:00+00:00,11.0,A,08045995,7.65,A,9.22,A
2010-08-29 00:00:00+00:00,9.93,A,08045995,7.25,A,8.21,A
2010-08-30 00:00:00+00:00,9.93,A,08045995,7.65,A,8.69,A
2010-08-31 00:00:00+00:00,18.1,A,08045995,7.65,A,11.3,A
2010-09-01 00:00:00+00:00,11.6,A,08045995,9.44,A,9.99,A
2010-09-02 00:00:00+00:00,215.0,A,08045995,9.93,A,78.8,A
2010-09-03 00:00:00+00:00,61.9,A,08045995,16.7,A,29.3,A
2010-09-04 00:00:00+00:00,16.7,A,08045995,11.0,A,13.1,A
2010-09-05 00:00:00+00:00,12.2,A,08045995,9.44,A,10.8,A
2010-09-06 00:00:00+00:00,12.2,A,08045995,8.96,A,10.5,A
2010-09-07 00:00:00+00:00,263.0,A,08045995,9.93,A,49.2,A
2010-09-08 00:00:00+00:00,1240.0,A,08045995,162.0,A,636.0,A
2010-09-09 00:00:00+00:00,162.0,A,08045995,36.1,A,81.4,A
2010-09-10 00:00:00+00:00,45.7,A,08045995,20.9,A,32.4,A
2010-09-11 00:00:00+00:00,20.9,A,08045995,14.9,A,18.0,A
2010-09-12 00:00:00+00:00,14.9,A,08045995,11.6,A,13.2,A
2010-09-13 00:00:00+00:00,12.8,A,08045995,9.93,A,10.9,A
2010-09-14 00:00:00+00:00,12.8,A,08045995,8.96,A,10.7,A
2010-09-15 00:00:00+00:00,9.93,A,08045995,7.65,A,8.82,A
2010-09-16 00:00:00+00:00,9.44,A,08045995,5.98,A,7.65,A
2010-09-17 00:00:00+00:00,8.96,A,08045995,5.57,A,6.89,A
2010-09-18 00:00:00+00:00,7.65,A,08045995,5.18,A,6.64,A
2010-09-19 00:00:00+00:00,7.65,A,08045995,5.18,A,6.73,A
2010-09-20 00:00:00+00:00,7.65,A,08045995,5.18,A,6.59,A
2010-09-21 00:00:00+00:00,7.25,A,08045995,4.51,A,6.24,A
2010-09-22 00:00:00+00:00,7.25,A,08045995,4.22,A,5.99,A
2010-09-23 00:00:00+00:00,7.25,A,08045995,4.51,A,6.24,A
2010-09-24 00:00:00+00:00,7.65,A,08045995,4.51,A,6.3,A
2010-09-25 00:00:00+00:00,601.0,A,08045995,6.87,A,150.0,A
2010-09-26 00:00:00+00:00,209.0,A,08045995,39.4,A,82.1,A
2010-09-27 00:00:00+00:00,39.4,A,08045995,23.5,A,30.8,A
2010-09-28 00:00:00+00:00,24.3,A,08045995,17.4,A,21.4,A
2010-09-29 00:00:00+00:00,17.4,A,08045995,13.5,A,15.9,A
2010-09-30 00:00:00+00:00,14.9,A,08045995,8.96,A,13.0,A
2010-10-01 00:00:00+00:00,12.8,A,08045995,8.96,A,10.6,A
2010-10-02 00:00:00+00:00,10.5,A,08045995,8.07,A,9.56,A
2010-10-03 00:00:00+00:00,9.93,A,08045995,6.87,A,8.31,A
2010-10-04 00:00:00+00:00,10.5,A,08045995,6.87,A,8.39,A
2010-10-05 00:00:00+00:00,9.44,A,08045995,6.41,A,7.94,A
2010-10-06 00:00:00+00:00,8.96,A,08045995,5.57,A,7.09,A
2010-10-07 00:00:00+00:00,7.65,A,08045995,5.57,A,6.97,A
2010-10-08 00:00:00+00:00,8.96,A,08045995,5.18,A,7.0,A
2010-10-09 00:00:00+00:00,7.65,A,08045995,5.18,A,6.51,A
2010-10-10 00:00:00+00:00,7.25,A,08045995,4.51,A,6.12,A
2010-10-11 00:00:00+00:00,7.25,A,08045995,4.51,A,5.99,A
2010-10-12 00:00:00+00:00,8.07,A,08045995,4.82,A,6.47,A
2010-10-13 00:00:00+00:00,7.65,A,08045995,4.51,A,6.02,A
2010-10-14 00:00:00+00:00,6.87,A,08045995,4.51,A,5.66,A
2010-10-15 00:00:00+00:00,7.25,A,08045995,4.51,A,6.03,A
2010-10-16 00:00:00+00:00,7.25,A,08045995,4.82,A,6.32,A
2010-10-17 00:00:00+00:00,7.65,A,08045995,4.51,A,6.22,A
2010-10-18 00:00:00+00:00,8.07,A,08045995,4.82,A,6.58,A
2010-10-19 00:00:00+00:00,8.96,A,08045995,5.18,A,7.21,A
2010-10-20 00:00:00+00:00,8.07,A,08045995,5.57,A,6.66,A
2010-10-21 00:00:00+00:00,9.44,A,08045995,6.87,A,8.12,A
