datetime,00060_2_Mean,00060_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1979-10-01 00:00:00+00:00,1.6,A,07342470,,
1979-10-02 00:00:00+00:00,1.5,A,07342470,,
1979-10-03 00:00:00+00:00,1.4,A,07342470,,
1979-10-04 00:00:00+00:00,1.3,A,07342470,,
1979-10-05 00:00:00+00:00,1.3,A,07342470,,
1979-10-06 00:00:00+00:00,1.3,A,07342470,,
1979-10-07 00:00:00+00:00,1.3,A,07342470,,
1979-10-08 00:00:00+00:00,1.3,A,07342470,,
1979-10-09 00:00:00+00:00,1.3,A,07342470,,
1979-10-10 00:00:00+00:00,1.3,A,07342470,,
1979-10-11 00:00:00+00:00,1.4,A,07342470,,
1979-10-12 00:00:00+00:00,1.4,A,07342470,,
1979-10-13 00:00:00+00:00,1.4,A,07342470,,
1979-10-14 00:00:00+00:00,1.5,A,07342470,,
1979-10-15 00:00:00+00:00,1.9,A,07342470,,
1979-10-16 00:00:00+00:00,2.1,A,07342470,,
1979-10-17 00:00:00+00:00,2.3,A,07342470,,
1979-10-18 00:00:00+00:00,2.3,A,07342470,,
1979-10-19 00:00:00+00:00,1.9,A,07342470,,
1979-10-20 00:00:00+00:00,5.8,A,07342470,,
1979-10-21 00:00:00+00:00,3.9,A,07342470,,
1979-10-22 00:00:00+00:00,2.7,A,07342470,,
1979-10-23 00:00:00+00:00,2.0,A,07342470,,
1979-10-24 00:00:00+00:00,1.8,A,07342470,,
1979-10-25 00:00:00+00:00,2.2,A,07342470,,
1979-10-26 00:00:00+00:00,3.6,A,07342470,,
1979-10-27 00:00:00+00:00,2.6,A,07342470,,
1979-10-28 00:00:00+00:00,2.2,A,07342470,,
1979-10-29 00:00:00+00:00,1.9,A,07342470,,
1979-10-30 00:00:00+00:00,2.0,A,07342470,,
1979-10-31 00:00:00+00:00,23.0,A,07342470,,
1979-11-01 00:00:00+00:00,6.0,A,07342470,,
1979-11-02 00:00:00+00:00,4.0,A,07342470,,
1979-11-03 00:00:00+00:00,3.2,A,07342470,,
1979-11-04 00:00:00+00:00,2.8,A,07342470,,
1979-11-05 00:00:00+00:00,2.6,A,07342470,,
